Código;Ação;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;149.647.285;0,317
ASAI3;ASSAI;156.928.631;2,072
BTOW3;B2W DIGITAL;201.802.882;2,041
BBDC3;BRADESCO;289.125.633;0,964
BBDC4;BRADESCO;983.287.959;3,861
BBAS3;BRASIL;296.071.354;1,452
BRFS3;BRF SA;811.759.800;3,385
BPAC11;BTGP BANCO;240.416.172;1,119
CCRO3;CCR SA;1.115.693.556;2,29
CMIG3;CEMIG;266.451.715;0,593
CMIG4;CEMIG;1.081.211.185;2,001
CIEL3;CIELO;1.112.196.638;0,618
CPLE3;COPEL;71.640.156;0,061
CPLE6;COPEL;570.829.074;0,517
CSAN3;COSAN;433.896.068;1,586
CPFE3;CPFL ENERGIA;187.714.249;0,771
DTEX3;DURATEX;273.813.447;0,994
ECOR3;ECORODOVIAS;172.602.770;0,312
ELET3;ELETROBRAS;358.018.408;2,358
ELET6;ELETROBRAS;242.977.127;1,605
ENBR3;ENERGIAS BR;231.489.471;0,625
EGIE3;ENGIE BRASIL;254.792.279;1,522
FLRY3;FLEURY;303.800.430;1,202
NTCO3;GRUPO NATURA;841.433.075;7,285
ITSA4;ITAUSA;1.041.867.515;1,773
ITUB3;ITAUUNIBANCO;88.782.175;0,362
ITUB4;ITAUUNIBANCO;1.100.601.278;5,002
KLBN11;KLABIN S/A;922.294.338;3,707
LIGT3;LIGHT S/A;372.555.324;0,868
LAME3;LOJAS AMERIC;249.502.964;0,786
LAME4;LOJAS AMERIC;847.010.651;2,789
LREN3;LOJAS RENNER;887.417.914;5,989
MDIA3;M.DIASBRANCO;83.669.782;0,417
MRFG3;MARFRIG;368.864.634;1,077
BEEF3;MINERVA;240.482.896;0,344
MOVI3;MOVIDA;132.113.940;0,397
MRVE3;MRV;293.978.672;0,733
NEOE3;NEOENERGIA;226.098.192;0,599
PCAR3;P.ACUCAR-CBD;156.928.631;0,926
PETR3;PETROBRAS;1.367.129.345;6,319
PETR4;PETROBRAS;1.694.580.738;7,61
BRDT3;PETROBRAS BR;432.307.932;1,76
SANB11;SANTANDER BR;82.057.153;0,507
SUZB3;SUZANO S.A.;724.921.241;6,616
VIVT3;TELEF BRASIL;444.219.852;2,825
TIMS3;TIM;808.485.985;1,422
WEGE3;WEG;1.482.296.002;7,621
